task_index,subpass,model_run,score
12,0,claude-sonnet-4-5-HighReasoning,1.0000000000
12,1,claude-sonnet-4-5-HighReasoning,1.0000000000
12,2,claude-sonnet-4-5-HighReasoning,1.0000000000
12,3,claude-sonnet-4-5-HighReasoning,1.0000000000
12,4,claude-sonnet-4-5-HighReasoning,1.0000000000
12,5,claude-sonnet-4-5-HighReasoning,1.0000000000
12,6,claude-sonnet-4-5-HighReasoning,0.0000000000
12,7,claude-sonnet-4-5-HighReasoning,1.0000000000
12,8,claude-sonnet-4-5-HighReasoning,1.0000000000
12,9,claude-sonnet-4-5-HighReasoning,1.0000000000
12,10,claude-sonnet-4-5-HighReasoning,1.0000000000
12,11,claude-sonnet-4-5-HighReasoning,1.0000000000
12,12,claude-sonnet-4-5-HighReasoning,0.0000000000
12,13,claude-sonnet-4-5-HighReasoning,1.0000000000
12,14,claude-sonnet-4-5-HighReasoning,0.0000000000
12,15,claude-sonnet-4-5-HighReasoning,0.0000000000
12,16,claude-sonnet-4-5-HighReasoning,0.0000000000
12,17,claude-sonnet-4-5-HighReasoning,0.0000000000
12,18,claude-sonnet-4-5-HighReasoning,0.0000000000
12,19,claude-sonnet-4-5-HighReasoning,0.0000000000
12,20,claude-sonnet-4-5-HighReasoning,0.0000000000
12,21,claude-sonnet-4-5-HighReasoning,0.0000000000
12,22,claude-sonnet-4-5-HighReasoning,0.0000000000
12,23,claude-sonnet-4-5-HighReasoning,1.0000000000
12,24,claude-sonnet-4-5-HighReasoning,0.0000000000
12,25,claude-sonnet-4-5-HighReasoning,0.0000000000
12,26,claude-sonnet-4-5-HighReasoning,0.0000000000
12,27,claude-sonnet-4-5-HighReasoning,0.0000000000
12,28,claude-sonnet-4-5-HighReasoning,0.0000000000
12,29,claude-sonnet-4-5-HighReasoning,0.0000000000
12,30,claude-sonnet-4-5-HighReasoning,0.0000000000
12,31,claude-sonnet-4-5-HighReasoning,0.0000000000
12,32,claude-sonnet-4-5-HighReasoning,1.0000000000
12,33,claude-sonnet-4-5-HighReasoning,0.0000000000
12,34,claude-sonnet-4-5-HighReasoning,0.0000000000
12,35,claude-sonnet-4-5-HighReasoning,0.0000000000
12,36,claude-sonnet-4-5-HighReasoning,0.0000000000
12,37,claude-sonnet-4-5-HighReasoning,0.0000000000
12,38,claude-sonnet-4-5-HighReasoning,0.0000000000
12,39,claude-sonnet-4-5-HighReasoning,0.0000000000
12,0,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,1,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,2,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,3,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,4,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,5,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,6,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,7,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,8,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,9,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,10,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,11,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,12,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,13,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,14,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,15,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,16,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,17,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,18,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,19,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
12,20,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,21,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,22,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,23,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,24,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,25,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,26,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,27,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,28,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,29,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,30,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,31,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,32,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,33,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,34,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,35,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,36,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,37,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,38,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,39,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
12,0,gemini-3-pro-preview-HighReasoning,1.0000000000
12,1,gemini-3-pro-preview-HighReasoning,1.0000000000
12,2,gemini-3-pro-preview-HighReasoning,1.0000000000
12,3,gemini-3-pro-preview-HighReasoning,1.0000000000
12,4,gemini-3-pro-preview-HighReasoning,1.0000000000
12,5,gemini-3-pro-preview-HighReasoning,1.0000000000
12,6,gemini-3-pro-preview-HighReasoning,1.0000000000
12,7,gemini-3-pro-preview-HighReasoning,1.0000000000
12,8,gemini-3-pro-preview-HighReasoning,1.0000000000
