timestamp_utc,aiEngineName,subPass,location_idx,time_idx,time_description,sky_filename,utc_time,target_lat,target_lon,guess_lat,guess_lon,abs_lat_error_deg,abs_lon_error_deg,central_angle_deg,great_circle_km,cartesian_km,score,hemisphere_correct,date_line_side_correct,within_10deg_lat,within_10deg_lon,numStarsVisible,starsVisibleMagLE0,starsVisibleMag0to1,starsVisibleMag1to2,starsVisibleMag2to3,starsVisibleMag3to4,starsVisibleMag4to5,starsVisibleMag5to6,numPlanetsVisible,moonVisible,visibleBodies
2026-01-15T00:10:40Z,nova-pro,0,0,0,2025:12:25 12:00:00 UTC,results/45_sky_loc0_time0.png,2025-12-25T12:00:00Z,35.7872,-170.7725,0.0,180.0,35.7872,350.77250000000004,36.80327329565879,4092.342926967418,4022.350949113878,0,0,0,0,0,2543,2,5,19,52,160,559,1746,1,False,jupiter
2026-01-15T00:12:02Z,gemini-3-pro-preview,0,0,0,2025:12:25 12:00:00 UTC,results/45_sky_loc0_time0.png,2025-12-25T12:00:00Z,35.7872,-170.7725,46.0,174.0,10.212800000000001,344.77250000000004,15.340266258148374,1705.762137378566,1700.6718933558127,0.1,1,0,0,0,2543,2,5,19,52,160,559,1746,1,False,jupiter
2026-01-15T00:15:30Z,gpt-5-nano-Reasoning-Tools,0,0,0,2025:12:25 12:00:00 UTC,results/45_sky_loc0_time0.png,2025-12-25T12:00:00Z,35.7872,-170.7725,37.7,-122.2,1.9128000000000043,48.572500000000005,38.52913358549205,4284.250100367295,4203.982255814619,0.30000000000000004,1,1,1,0,2543,2,5,19,52,160,559,1746,1,False,jupiter
2026-01-15T00:18:00Z,gpt-5-mini-Reasoning-Tools,0,0,0,2025:12:25 12:00:00 UTC,results/45_sky_loc0_time0.png,2025-12-25T12:00:00Z,35.7872,-170.7725,34.962,-150.68,0.8251999999999953,20.0925,16.3752104511155,1820.8428399527745,1814.6520467365103,0.30000000000000004,1,1,1,0,2543,2,5,19,52,160,559,1746,1,False,jupiter
2026-01-15T00:22:17Z,gpt-5.2-Reasoning-Tools,0,0,0,2025:12:25 12:00:00 UTC,results/45_sky_loc0_time0.png,2025-12-25T12:00:00Z,35.7872,-170.7725,55.727,-158.86,19.939799999999998,11.912499999999994,21.53187757149747,2394.238854141269,2380.174879928497,0.2,1,1,0,0,2543,2,5,19,52,160,559,1746,1,False,jupiter
2026-01-15T01:37:14Z,claude-opus-4-5,0,0,0,2025:12:25 12:00:00 UTC,results/45_sky_loc0_time0.png,2025-12-25T12:00:00Z,35.7872,-170.7725,-45.123,-178.45,80.9102,7.677499999999981,81.20779301174353,9029.907059528956,8292.834453277364,0.2,0,1,0,1,2543,2,5,19,52,160,559,1746,1,False,jupiter
2026-01-15T01:38:03Z,claude-opus-4-5,5,5,0,2025:12:25 12:00:00 UTC,results/45_sky_loc5_time0.png,2025-12-25T12:00:00Z,52.6565,162.2525,-45.0,-165.0,97.6565,327.2525,101.61919365714111,11299.554391972724,9875.705077947097,0,0,0,0,0,2524,1,6,19,54,160,558,1726,2,False,jupiter;saturn
2026-01-15T01:38:03Z,claude-opus-4-5,2,2,0,2025:12:25 12:00:00 UTC,results/45_sky_loc2_time0.png,2025-12-25T12:00:00Z,-11.0874,-138.853,-45.123,-178.45,34.035599999999995,39.59699999999998,47.94740814614937,5331.515895801028,5177.302545899614,0.2,1,1,0,0,2656,4,8,24,62,184,566,1808,1,False,jupiter
2026-01-15T01:38:03Z,claude-opus-4-5,4,4,0,2025:12:25 12:00:00 UTC,results/45_sky_loc4_time0.png,2025-12-25T12:00:00Z,20.9316,147.1115,-35.5,-178.5,56.4316,325.6115,65.16311801283156,7245.818135703978,6861.571491651149,0,0,0,0,0,2578,2,6,19,51,169,554,1777,2,True,jupiter;moon;saturn
2026-01-15T01:38:03Z,claude-opus-4-5,19,5,2,2025:12:17 14:42:52 UTC,results/45_sky_loc5_time2.png,2025-12-17T14:42:52Z,52.6565,162.2525,-15.5,-155.5,68.1565,317.7525,77.2769099058427,8592.812197179674,7956.166576117706,0,0,0,0,0,2524,2,6,19,58,157,571,1711,1,False,jupiter
